contact_id,campaign_id,service_id,contact_date,contact_channel,response_flag,retained_30d_flag,contact_cost_aud
1,3,1,2025-05-06,Email,0,0,0.15
2,4,1,2025-03-13,App Push,1,1,0.15
3,6,1,2025-06-12,SMS,0,0,0.08
4,1,2,2024-08-31,App Push,1,0,3.5
5,5,2,2025-03-22,SMS,0,1,3.5
6,1,3,2024-09-30,Outbound Call,1,1,0.15
7,6,3,2025-04-09,Outbound Call,1,1,0.05
8,1,4,2024-09-18,SMS,0,1,0.15
9,5,4,2025-06-30,SMS,0,0,0.05
10,4,5,2025-02-06,Email,1,0,0.05
11,6,5,2025-04-29,SMS,0,0,0.05
12,1,6,2024-08-27,App Push,0,0,0.05
13,4,6,2025-03-20,Outbound Call,1,1,0.05
14,6,6,2025-05-01,SMS,0,0,0.05
15,4,8,2025-03-19,Email,0,1,0.15
16,6,8,2025-04-15,SMS,1,1,3.5
17,3,9,2025-06-01,Email,0,0,0.15
18,6,9,2025-03-16,Email,0,1,3.5
19,3,10,2025-03-22,App Push,1,1,3.5
20,4,11,2025-04-12,Outbound Call,0,0,0.08
21,4,13,2025-01-28,App Push,1,1,3.5
22,1,14,2024-09-06,Outbound Call,1,0,0.08
23,4,14,2025-03-14,App Push,0,0,0.08
24,1,15,2024-08-17,App Push,1,0,3.5
25,6,15,2025-05-08,SMS,0,1,3.5
26,5,16,2025-04-25,Outbound Call,1,1,0.05
27,1,17,2024-09-14,Email,0,0,0.15
28,6,17,2025-03-05,Email,1,1,0.08
29,4,18,2025-04-14,App Push,0,0,0.08
30,6,18,2025-05-15,SMS,0,0,0.08
31,4,19,2025-02-12,Outbound Call,0,0,0.05
32,4,20,2025-01-28,Outbound Call,0,0,0.08
33,2,21,2024-12-24,App Push,0,0,0.15
34,6,21,2025-05-22,App Push,0,0,0.05
35,3,22,2025-06-26,Outbound Call,0,1,0.05
36,6,22,2025-05-30,Email,0,1,0.08
37,6,23,2025-06-27,Outbound Call,0,1,0.08
38,2,25,2024-12-13,Email,1,1,3.5
39,4,25,2025-03-10,App Push,0,1,3.5
40,1,27,2024-08-02,Outbound Call,1,1,0.08
41,2,27,2024-11-20,App Push,1,1,0.08
42,3,27,2025-02-10,SMS,0,0,3.5
43,5,27,2025-05-11,Outbound Call,1,1,0.05
44,2,28,2024-12-24,Email,1,0,0.15
45,4,28,2025-03-18,App Push,1,1,0.05
46,2,29,2024-12-09,App Push,0,1,0.15
47,5,30,2025-06-21,Outbound Call,0,0,0.15
48,6,30,2025-03-19,App Push,1,1,3.5
49,1,31,2024-09-23,App Push,0,0,0.08
50,5,32,2025-03-28,SMS,0,0,0.15
51,3,34,2025-06-14,Email,0,1,0.08
52,2,36,2024-11-03,Outbound Call,1,1,0.05
53,4,36,2025-02-04,Outbound Call,1,1,0.08
54,1,37,2024-08-12,Email,0,0,3.5
55,3,37,2024-11-20,App Push,0,0,0.05
56,4,37,2025-04-09,Outbound Call,0,0,0.08
57,6,37,2025-04-25,App Push,0,1,3.5
58,2,39,2024-12-02,App Push,0,1,0.08
59,3,39,2024-11-14,Outbound Call,1,1,0.15
60,6,40,2025-03-24,Outbound Call,1,0,0.08
61,1,42,2024-09-05,SMS,1,0,0.15
62,4,42,2025-04-09,SMS,0,1,3.5
63,6,43,2025-05-03,Email,0,0,0.08
64,2,44,2024-10-14,Email,1,1,0.15
65,6,45,2025-05-18,Outbound Call,0,0,0.15
66,2,47,2024-10-25,Email,1,0,0.15
67,3,47,2025-04-01,Email,0,0,0.15
68,1,48,2024-09-14,Outbound Call,0,0,0.05
69,2,48,2024-11-17,App Push,1,1,0.15
70,4,48,2025-03-28,SMS,0,1,0.15
71,6,48,2025-06-24,SMS,0,0,0.15
