invoice_id,service_id,billing_month,invoice_date,plan_charge_aud,excess_usage_aud,discount_aud,total_amount_aud,payment_status,days_late
1,1,2024-01-01,2024-01-05,39.0,1.1,5.85,34.25,Paid,0
2,1,2024-02-01,2024-02-05,39.0,0.0,0.22,38.78,Paid,0
3,1,2024-03-01,2024-03-05,39.0,0.0,4.33,34.67,Paid,8
4,1,2024-04-01,2024-04-05,39.0,2.65,0.65,41.0,Paid,0
5,1,2024-05-01,2024-05-05,39.0,0.39,0.86,38.53,Paid,8
6,1,2024-06-01,2024-06-05,39.0,1.92,1.09,39.83,Paid,0
7,1,2024-07-01,2024-07-05,39.0,0.0,1.3,37.7,Paid,17
8,1,2024-08-01,2024-08-05,39.0,0.0,1.52,37.48,Paid,8
9,1,2024-09-01,2024-09-05,39.0,0.0,1.74,37.26,Paid,0
10,1,2024-10-01,2024-10-05,39.0,7.29,1.96,44.33,Paid,3
11,1,2024-11-01,2024-11-05,39.0,10.32,2.18,47.14,Paid,0
12,1,2024-12-01,2024-12-05,39.0,0.0,2.39,36.61,Paid,0
13,1,2025-01-01,2025-01-05,39.0,0.0,8.46,30.54,Paid,8
14,1,2025-02-01,2025-02-05,39.0,0.0,6.74,32.26,Late,31
15,1,2025-03-01,2025-03-05,39.0,0.0,3.04,35.96,Paid,3
16,1,2025-04-01,2025-04-05,39.0,8.77,9.11,38.66,Paid,0
17,1,2025-05-01,2025-05-05,39.0,0.0,3.47,35.53,Paid,0
18,1,2025-06-01,2025-06-05,39.0,0.0,7.59,31.41,Paid,17
19,2,2024-06-01,2024-06-05,99.0,6.62,12.66,92.96,Paid,3
20,2,2024-07-01,2024-07-05,99.0,0.0,18.15,80.85,Paid,0
21,2,2024-08-01,2024-08-05,99.0,4.7,3.86,99.84,Paid,0
22,2,2024-09-01,2024-09-05,99.0,0.0,4.42,94.58,Paid,0
23,2,2024-10-01,2024-10-05,99.0,0.68,4.97,94.71,Paid,0
24,2,2024-11-01,2024-11-05,99.0,5.95,20.38,84.57,Paid,8
25,2,2024-12-01,2024-12-05,99.0,0.0,6.07,92.93,Paid,17
26,2,2025-01-01,2025-01-05,99.0,0.0,6.64,92.36,Paid,0
27,2,2025-02-01,2025-02-05,99.0,0.0,22.05,76.95,Unpaid,0
28,2,2025-03-01,2025-03-05,99.0,2.13,7.71,93.42,Paid,8
29,2,2025-04-01,2025-04-05,99.0,0.0,8.27,90.73,Paid,31
30,2,2025-05-01,2025-05-05,99.0,7.04,23.66,82.38,Unpaid,0
31,2,2025-06-01,2025-06-05,99.0,12.26,9.37,101.89,Late,0
32,4,2024-01-01,2024-01-05,39.0,0.0,3.9,35.1,Paid,8
33,4,2024-02-01,2024-02-05,39.0,13.37,4.12,48.25,Paid,17
34,4,2024-03-01,2024-03-05,39.0,0.0,0.43,38.57,Paid,31
35,4,2024-04-01,2024-04-05,39.0,2.18,6.5,34.68,Paid,0
36,4,2024-05-01,2024-05-05,39.0,0.0,4.76,34.24,Paid,31
37,4,2024-06-01,2024-06-05,39.0,6.1,4.99,40.11,Paid,31
38,4,2024-07-01,2024-07-05,39.0,0.0,1.3,37.7,Paid,3
39,4,2024-08-01,2024-08-05,39.0,0.0,7.37,31.63,Paid,3
40,4,2024-09-01,2024-09-05,39.0,0.1,1.74,37.36,Paid,17
41,4,2024-10-01,2024-10-05,39.0,2.78,1.96,39.82,Paid,31
42,4,2024-11-01,2024-11-05,39.0,3.96,2.18,40.78,Paid,17
43,4,2024-12-01,2024-12-05,39.0,3.65,8.24,34.41,Paid,8
44,4,2025-01-01,2025-01-05,39.0,4.98,8.46,35.52,Paid,31
45,4,2025-02-01,2025-02-05,39.0,0.0,2.84,36.16,Paid,0
46,4,2025-03-01,2025-03-05,39.0,0.0,8.89,30.11,Late,0
47,4,2025-04-01,2025-04-05,39.0,0.0,7.16,31.84,Paid,3
48,4,2025-05-01,2025-05-05,39.0,0.0,3.47,35.53,Paid,0
49,4,2025-06-01,2025-06-05,39.0,0.0,9.54,29.46,Paid,0
50,5,2024-01-01,2024-01-05,59.0,0.37,0.0,59.37,Paid,8
51,5,2024-02-01,2024-02-05,59.0,0.0,6.23,52.77,Paid,0
52,5,2024-03-01,2024-03-05,59.0,13.04,6.55,65.49,Paid,0
53,5,2024-04-01,2024-04-05,59.0,3.62,6.88,55.74,Paid,0
54,5,2024-05-01,2024-05-05,59.0,0.0,1.31,57.69,Late,31
55,5,2024-06-01,2024-06-05,59.0,7.27,1.64,64.63,Unpaid,0
56,5,2024-07-01,2024-07-05,59.0,2.38,10.82,50.56,Paid,17
57,5,2024-08-01,2024-08-05,59.0,0.0,2.3,56.7,Paid,0
58,5,2024-09-01,2024-09-05,59.0,12.48,8.54,62.94,Late,3
59,5,2024-10-01,2024-10-05,59.0,7.05,8.86,57.19,Paid,31
60,5,2024-11-01,2024-11-05,59.0,0.0,3.3,55.7,Paid,0
61,5,2024-12-01,2024-12-05,59.0,0.0,9.52,49.48,Paid,3
62,7,2024-01-01,2024-01-05,49.0,1.72,7.35,43.37,Paid,0
63,7,2024-02-01,2024-02-05,49.0,2.26,0.28,50.98,Paid,31
64,7,2024-03-01,2024-03-05,49.0,2.08,0.54,50.54,Paid,8
65,7,2024-04-01,2024-04-05,49.0,3.82,0.82,52.0,Paid,31
66,7,2024-05-01,2024-05-05,49.0,0.0,1.09,47.91,Paid,0
67,7,2024-06-01,2024-06-05,49.0,11.08,1.36,58.72,Paid,8
68,7,2024-07-01,2024-07-05,49.0,1.83,1.63,49.2,Paid,17
69,7,2024-08-01,2024-08-05,49.0,0.77,1.91,47.86,Paid,8
70,7,2024-09-01,2024-09-05,49.0,0.0,2.19,46.81,Paid,31
71,7,2024-10-01,2024-10-05,49.0,0.0,2.46,46.54,Paid,8
72,7,2024-11-01,2024-11-05,49.0,0.0,10.09,38.91,Paid,17
73,7,2024-12-01,2024-12-05,49.0,9.75,10.36,48.39,Paid,0
74,7,2025-01-01,2025-01-05,49.0,9.29,3.28,55.01,Paid,3
75,7,2025-02-01,2025-02-05,49.0,11.44,3.56,56.88,Paid,0
76,7,2025-03-01,2025-03-05,49.0,0.0,8.71,40.29,Paid,0
77,7,2025-04-01,2025-04-05,49.0,0.0,4.09,44.91,Paid,31
78,7,2025-05-01,2025-05-05,49.0,0.0,4.36,44.64,Paid,0
79,7,2025-06-01,2025-06-05,49.0,0.0,11.99,37.01,Paid,0
80,8,2024-01-01,2024-01-05,59.0,0.0,8.85,50.15,Paid,0
81,8,2024-02-01,2024-02-05,59.0,4.55,9.18,54.37,Paid,8
82,8,2024-03-01,2024-03-05,59.0,4.76,0.65,63.11,Late,31
83,8,2024-04-01,2024-04-05,59.0,0.0,0.98,58.02,Unpaid,0
84,8,2024-05-01,2024-05-05,59.0,6.46,1.31,64.15,Paid,31
85,8,2024-06-01,2024-06-05,59.0,2.62,10.49,51.13,Paid,8
86,8,2024-07-01,2024-07-05,59.0,0.0,1.97,57.03,Paid,0
87,8,2024-08-01,2024-08-05,59.0,9.71,2.3,66.41,Paid,17
