plan_id,plan_name,plan_type,monthly_price_aud,included_data_gb,contract_months,plan_family,is_active
1,Waratah Starter 10,Prepaid,10.0,3.0,0,Starter,1
2,Waratah Value 20,Prepaid,20.0,15.0,0,Value,1
3,Waratah Value 30,Prepaid,30.0,35.0,0,Value,1
4,Waratah Max 40,Prepaid,40.0,60.0,0,Max,1
5,Waratah Max 50,Prepaid,50.0,100.0,0,Max,1
6,Waratah Essential 39,Postpaid,39.0,20.0,12,Essential,1
7,Waratah Everyday 49,Postpaid,49.0,50.0,12,Everyday,1
8,Waratah Everyday 59,Postpaid,59.0,80.0,24,Everyday,1
9,Waratah Premium 79,Postpaid,79.0,150.0,24,Premium,1
10,Waratah Business 99,Postpaid,99.0,250.0,24,Business,1
