recharge_id,service_id,recharge_date,amount_aud,recharge_channel,recharge_type
1,3,2024-01-01,20.0,Third Party,Manual
2,3,2024-02-07,20.0,Auto-Recharge,Auto
3,3,2024-03-14,50.0,App,Manual
4,3,2024-04-13,20.0,Retail Store,Manual
5,3,2024-05-13,20.0,Auto-Recharge,Manual
6,3,2024-06-10,20.0,Third Party,Manual
7,3,2024-07-10,20.0,Third Party,Manual
8,3,2024-08-10,20.0,Website,Manual
9,3,2024-09-17,20.0,Retail Store,Manual
10,3,2024-10-23,10.0,Website,Manual
11,3,2024-11-21,10.0,Website,Manual
12,3,2024-12-26,10.0,Third Party,Auto
13,3,2025-02-01,20.0,Website,Manual
14,3,2025-02-27,10.0,Website,Auto
15,3,2025-04-05,10.0,Website,Manual
16,3,2025-05-02,20.0,Third Party,Manual
17,3,2025-06-06,20.0,Auto-Recharge,Manual
18,6,2024-01-01,40.0,Third Party,Manual
19,6,2024-02-08,40.0,Third Party,Manual
20,6,2024-03-09,20.0,Retail Store,Auto
21,6,2024-04-07,40.0,Website,Manual
22,6,2024-05-13,40.0,Auto-Recharge,Auto
23,6,2024-06-13,30.0,Retail Store,Manual
24,6,2024-07-15,30.0,Third Party,Manual
25,6,2024-08-15,40.0,Website,Auto
26,6,2024-09-17,30.0,Retail Store,Manual
27,6,2024-10-20,20.0,Website,Manual
28,6,2024-11-26,40.0,Third Party,Manual
29,6,2025-01-03,30.0,App,Manual
30,10,2024-10-26,30.0,Third Party,Auto
31,10,2024-11-21,10.0,Third Party,Auto
32,10,2024-12-20,40.0,App,Manual
33,10,2025-01-25,10.0,Retail Store,Manual
34,10,2025-03-04,30.0,App,Manual
35,10,2025-04-01,10.0,Website,Manual
36,12,2024-01-01,50.0,Retail Store,Auto
37,12,2024-02-05,30.0,Third Party,Auto
38,12,2024-03-10,30.0,Third Party,Manual
39,12,2024-04-15,30.0,App,Manual
40,12,2024-05-18,40.0,Auto-Recharge,Manual
41,12,2024-06-13,30.0,Retail Store,Manual
42,12,2024-07-15,20.0,Website,Manual
43,12,2024-08-10,30.0,Third Party,Manual
44,12,2024-09-06,30.0,Auto-Recharge,Auto
45,12,2024-10-04,40.0,Auto-Recharge,Manual
46,12,2024-11-05,30.0,Third Party,Auto
47,12,2024-12-06,30.0,Auto-Recharge,Manual
48,12,2025-01-12,10.0,Retail Store,Manual
49,12,2025-02-18,30.0,Website,Auto
50,12,2025-03-21,20.0,App,Auto
51,12,2025-04-26,30.0,App,Auto
52,12,2025-05-23,20.0,Third Party,Manual
53,12,2025-06-18,20.0,Auto-Recharge,Auto
54,13,2024-01-01,20.0,Website,Auto
55,13,2024-02-04,50.0,Third Party,Manual
56,13,2024-03-11,40.0,Third Party,Manual
57,13,2024-04-06,50.0,Retail Store,Auto
58,13,2024-05-13,50.0,Website,Auto
59,13,2024-06-09,50.0,Third Party,Manual
60,13,2024-07-10,50.0,Retail Store,Manual
61,13,2024-08-12,50.0,Website,Auto
62,13,2024-09-08,50.0,App,Auto
63,13,2024-10-10,50.0,App,Manual
64,13,2024-11-06,50.0,Retail Store,Manual
65,13,2024-12-03,10.0,Third Party,Manual
66,13,2024-12-29,30.0,Third Party,Manual
67,13,2025-01-26,20.0,Website,Manual
68,13,2025-03-05,40.0,Retail Store,Auto
69,14,2024-01-01,20.0,Auto-Recharge,Manual
70,14,2024-01-31,20.0,Third Party,Manual
71,14,2024-03-02,20.0,Auto-Recharge,Manual
72,14,2024-04-06,20.0,Website,Manual
73,14,2024-05-10,20.0,Website,Manual
74,14,2024-06-09,10.0,Auto-Recharge,Manual
75,14,2024-07-07,20.0,Website,Manual
76,14,2024-08-14,20.0,Third Party,Manual
77,14,2024-09-15,20.0,Auto-Recharge,Manual
78,14,2024-10-23,50.0,App,Auto
79,14,2024-11-21,20.0,Third Party,Auto
80,14,2024-12-27,20.0,Retail Store,Manual
81,14,2025-01-28,10.0,Website,Manual
82,14,2025-03-03,20.0,Website,Manual
83,14,2025-04-04,20.0,Third Party,Auto
84,14,2025-04-30,10.0,App,Auto
85,14,2025-06-06,10.0,Auto-Recharge,Manual
86,16,2024-01-01,20.0,Website,Auto
87,16,2024-02-07,10.0,Auto-Recharge,Manual
88,16,2024-03-12,20.0,Retail Store,Auto
89,16,2024-04-09,20.0,App,Manual
90,16,2024-05-05,20.0,Third Party,Auto
91,16,2024-06-11,10.0,Third Party,Manual
92,16,2024-07-14,20.0,Retail Store,Manual
93,16,2024-08-18,10.0,Third Party,Auto
94,16,2024-09-13,20.0,Auto-Recharge,Manual
95,16,2024-10-11,10.0,Auto-Recharge,Auto
96,16,2024-11-09,20.0,Retail Store,Manual
97,16,2024-12-14,20.0,App,Auto
98,18,2024-01-01,10.0,Retail Store,Manual
99,18,2024-01-29,10.0,Auto-Recharge,Manual
100,18,2024-02-26,10.0,Third Party,Manual
101,18,2024-03-26,10.0,Auto-Recharge,Manual
102,18,2024-05-02,10.0,App,Manual
103,18,2024-06-06,10.0,Third Party,Auto
104,18,2024-07-11,10.0,Third Party,Auto
105,18,2024-08-15,10.0,Retail Store,Manual
106,18,2024-09-13,10.0,App,Manual
107,18,2024-10-19,10.0,Auto-Recharge,Auto
