usage_id,service_id,usage_month,data_gb,voice_minutes,sms_count,roaming_gb,days_active
1,1,2024-01-01,1.19,383,0,0.0,26
2,1,2024-02-01,10.16,139,77,1.2,23
3,1,2024-03-01,9.21,243,41,1.2,28
4,1,2024-04-01,13.22,130,21,0.0,27
5,1,2024-05-01,13.31,124,13,0.0,23
6,1,2024-06-01,9.33,218,104,0.0,25
7,1,2024-07-01,7.23,119,61,0.0,30
8,1,2024-08-01,11.2,246,28,1.2,27
9,1,2024-09-01,9.49,182,43,0.0,21
10,1,2024-10-01,5.79,0,58,0.4,30
11,1,2024-11-01,8.56,208,0,0.0,26
12,1,2024-12-01,10.07,91,26,0.4,24
13,1,2025-01-01,8.12,200,45,0.4,28
14,1,2025-02-01,11.35,242,78,0.0,30
15,1,2025-03-01,11.92,189,22,0.0,30
16,1,2025-04-01,9.65,125,87,0.4,30
17,1,2025-05-01,8.35,149,9,0.0,28
18,1,2025-06-01,14.48,234,10,1.2,30
19,2,2024-06-01,162.4,161,50,0.4,29
20,2,2024-07-01,160.27,240,46,1.2,30
21,2,2024-08-01,111.47,127,0,0.0,28
22,2,2024-09-01,181.4,231,39,0.0,28
23,2,2024-10-01,112.12,126,37,0.0,22
24,2,2024-11-01,114.91,163,83,0.0,25
25,2,2024-12-01,46.51,131,25,0.0,26
26,2,2025-01-01,183.49,202,113,0.0,23
27,2,2025-02-01,165.14,143,40,0.4,29
28,2,2025-03-01,175.62,118,27,0.0,26
29,2,2025-04-01,227.66,0,63,0.0,20
30,2,2025-05-01,186.3,364,46,1.2,23
31,2,2025-06-01,197.43,56,34,0.0,30
32,3,2024-01-01,10.71,120,67,0.0,25
33,3,2024-02-01,8.11,77,38,1.2,30
34,3,2024-03-01,7.36,333,17,0.0,28
35,3,2024-04-01,10.43,214,36,0.4,30
36,3,2024-05-01,9.75,204,27,0.0,29
37,3,2024-06-01,11.07,216,10,0.0,26
38,3,2024-07-01,9.73,102,48,0.0,18
39,3,2024-08-01,11.43,59,37,0.0,28
40,3,2024-09-01,7.35,265,84,0.4,23
41,3,2024-10-01,8.19,66,23,0.0,26
42,3,2024-11-01,7.75,282,5,0.0,30
43,3,2024-12-01,7.32,9,113,0.4,22
44,3,2025-01-01,11.21,195,33,1.2,27
45,3,2025-02-01,2.82,258,49,0.0,30
46,3,2025-03-01,8.89,257,42,0.0,24
47,3,2025-04-01,8.23,217,77,0.0,28
48,3,2025-05-01,8.43,213,48,0.0,27
49,3,2025-06-01,10.15,161,57,0.0,28
50,4,2024-01-01,16.01,161,34,0.0,26
51,4,2024-02-01,11.5,188,32,0.0,30
52,4,2024-03-01,11.52,206,71,0.0,26
53,4,2024-04-01,9.73,200,33,0.0,27
54,4,2024-05-01,14.66,0,59,0.4,29
55,4,2024-06-01,11.49,57,45,0.4,25
56,4,2024-07-01,4.61,314,28,0.0,30
57,4,2024-08-01,9.1,297,1,0.0,23
58,4,2024-09-01,8.79,129,59,0.4,29
59,4,2024-10-01,11.26,182,1,0.0,29
60,4,2024-11-01,14.23,195,27,0.0,30
61,4,2024-12-01,7.52,0,49,1.2,22
62,4,2025-01-01,11.88,123,56,0.0,29
63,4,2025-02-01,17.28,88,56,0.0,29
64,4,2025-03-01,4.83,85,68,0.0,25
65,4,2025-04-01,8.67,50,73,0.0,26
66,4,2025-05-01,6.01,226,77,0.4,23
67,4,2025-06-01,11.0,219,95,0.4,26
68,5,2024-01-01,49.6,113,28,1.2,30
69,5,2024-02-01,34.94,183,13,0.4,27
70,5,2024-03-01,45.26,92,95,1.2,24
71,5,2024-04-01,45.1,268,59,0.0,24
72,5,2024-05-01,43.17,39,51,1.2,24
73,5,2024-06-01,50.12,53,84,0.0,30
74,5,2024-07-01,22.63,178,81,0.0,22
75,5,2024-08-01,72.47,295,56,1.2,28
76,5,2024-09-01,50.2,173,44,0.4,24
77,5,2024-10-01,26.88,43,56,0.3,16
78,5,2024-11-01,16.91,116,15,0.2,10
79,5,2024-12-01,12.47,46,0,0.0,5
80,6,2024-01-01,32.94,109,8,0.0,30
81,6,2024-02-01,39.81,221,101,0.4,29
82,6,2024-03-01,25.25,288,14,0.0,23
83,6,2024-04-01,41.57,138,26,0.0,29
